id,publication_year,cited_by_count,author_ids
https://openalex.org/W2114082014,2010,228,"['https://openalex.org/A5032045555', 'https://openalex.org/A5025801291', 'https://openalex.org/A5079517520']"
https://openalex.org/W1981599289,2005,212,['https://openalex.org/A5079517520']
https://openalex.org/W2073512688,2002,210,['https://openalex.org/A5079517520']
https://openalex.org/W2149769615,2013,191,"['https://openalex.org/A5086073834', 'https://openalex.org/A5079517520']"
https://openalex.org/W2919497868,2019,170,['https://openalex.org/A5079517520']
https://openalex.org/W2016456216,2008,168,"['https://openalex.org/A5090925242', 'https://openalex.org/A5042883048', 'https://openalex.org/A5110332958', 'https://openalex.org/A5025808053', 'https://openalex.org/A5079517520']"
https://openalex.org/W1981637710,2009,138,"['https://openalex.org/A5020783346', 'https://openalex.org/A5014709451', 'https://openalex.org/A5079517520', 'https://openalex.org/A5089147261', 'https://openalex.org/A5049770857']"
https://openalex.org/W2100238891,2013,118,"['https://openalex.org/A5074129504', 'https://openalex.org/A5079517520']"
https://openalex.org/W1977816134,2011,115,"['https://openalex.org/A5046719770', 'https://openalex.org/A5079517520', 'https://openalex.org/A5047236098']"
https://openalex.org/W3098818882,2015,115,"['https://openalex.org/A5009960665', 'https://openalex.org/A5076947945', 'https://openalex.org/A5101606905', 'https://openalex.org/A5085669742', 'https://openalex.org/A5081789086', 'https://openalex.org/A5081026338', 'https://openalex.org/A5079517520', 'https://openalex.org/A5090925242']"
https://openalex.org/W2051680297,2013,108,"['https://openalex.org/A5041066777', 'https://openalex.org/A5086073834', 'https://openalex.org/A5079517520']"
https://openalex.org/W2056909789,2012,105,"['https://openalex.org/A5046719770', 'https://openalex.org/A5032045555', 'https://openalex.org/A5025801291', 'https://openalex.org/A5079517520']"
https://openalex.org/W2044884220,2009,103,"['https://openalex.org/A5047236098', 'https://openalex.org/A5082080991', 'https://openalex.org/A5079517520']"
https://openalex.org/W3205475594,2021,2126,"['https://openalex.org/A5053140884', 'https://openalex.org/A5032653173', 'https://openalex.org/A5118969723', 'https://openalex.org/A5059738737', 'https://openalex.org/A5063913041', 'https://openalex.org/A5104096829', 'https://openalex.org/A5100335305', 'https://openalex.org/A5100754441', 'https://openalex.org/A5100374639', 'https://openalex.org/A5078370650']"
https://openalex.org/W3048484045,2020,1309,"['https://openalex.org/A5045349744', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100335238', 'https://openalex.org/A5104096829', 'https://openalex.org/A5059738737', 'https://openalex.org/A5063913041', 'https://openalex.org/A5100754441', 'https://openalex.org/A5100374639', 'https://openalex.org/A5078370650']"
https://openalex.org/W2947924265,2019,253,"['https://openalex.org/A5102329285', 'https://openalex.org/A5078370650', 'https://openalex.org/A5059738737', 'https://openalex.org/A5113870123', 'https://openalex.org/A5063913041', 'https://openalex.org/A5082745512', 'https://openalex.org/A5100325218', 'https://openalex.org/A5100335238', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100374639']"
https://openalex.org/W3009290085,2020,243,"['https://openalex.org/A5070681422', 'https://openalex.org/A5110689328', 'https://openalex.org/A5032653173', 'https://openalex.org/A5063913041', 'https://openalex.org/A5018503849', 'https://openalex.org/A5100754441', 'https://openalex.org/A5036813587', 'https://openalex.org/A5100325218', 'https://openalex.org/A5100335228', 'https://openalex.org/A5100374639', 'https://openalex.org/A5078370650']"
https://openalex.org/W2979912946,2019,237,"['https://openalex.org/A5059738737', 'https://openalex.org/A5078370650', 'https://openalex.org/A5080195820', 'https://openalex.org/A5100754441', 'https://openalex.org/A5063913041', 'https://openalex.org/A5048850422', 'https://openalex.org/A5000579442', 'https://openalex.org/A5100335305', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100374639']"
https://openalex.org/W4310079132,2022,228,"['https://openalex.org/A5058522614', 'https://openalex.org/A5100754441', 'https://openalex.org/A5032653173', 'https://openalex.org/A5118969723', 'https://openalex.org/A5100335304', 'https://openalex.org/A5104096829', 'https://openalex.org/A5059738737', 'https://openalex.org/A5063913041', 'https://openalex.org/A5103158223', 'https://openalex.org/A5100374639', 'https://openalex.org/A5078370650']"
https://openalex.org/W1652278102,1996,214,"['https://openalex.org/A5072444665', 'https://openalex.org/A5063913041', 'https://openalex.org/A5006070213', 'https://openalex.org/A5062330873', 'https://openalex.org/A5004616732', 'https://openalex.org/A5059516590']"
https://openalex.org/W3012758411,2020,164,"['https://openalex.org/A5100754441', 'https://openalex.org/A5059738737', 'https://openalex.org/A5063913041', 'https://openalex.org/A5100335309', 'https://openalex.org/A5100325221', 'https://openalex.org/A5036813587', 'https://openalex.org/A5110689328', 'https://openalex.org/A5100374639', 'https://openalex.org/A5032653173', 'https://openalex.org/A5078370650']"
https://openalex.org/W3119414881,2021,123,"['https://openalex.org/A5034729834', 'https://openalex.org/A5032653173', 'https://openalex.org/A5078370650', 'https://openalex.org/A5052990671', 'https://openalex.org/A5100754441', 'https://openalex.org/A5063913041', 'https://openalex.org/A5100325229', 'https://openalex.org/A5045831121', 'https://openalex.org/A5100392240', 'https://openalex.org/A5100374639', 'https://openalex.org/A5010303499']"
https://openalex.org/W2833129054,2018,120,"['https://openalex.org/A5100754441', 'https://openalex.org/A5078370650', 'https://openalex.org/A5059738737', 'https://openalex.org/A5112216055', 'https://openalex.org/A5063913041', 'https://openalex.org/A5100335305', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100374639']"
https://openalex.org/W3090848430,2020,117,"['https://openalex.org/A5045349744', 'https://openalex.org/A5036813587', 'https://openalex.org/A5059738737', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100754441', 'https://openalex.org/A5063913041', 'https://openalex.org/A5100325229', 'https://openalex.org/A5100335238', 'https://openalex.org/A5100374639', 'https://openalex.org/A5078370650']"
https://openalex.org/W2073422102,2014,113,"['https://openalex.org/A5101964092', 'https://openalex.org/A5100535912', 'https://openalex.org/A5051072389', 'https://openalex.org/A5100348149', 'https://openalex.org/A5063913041', 'https://openalex.org/A5102835550', 'https://openalex.org/A5103561793', 'https://openalex.org/A5100630583']"
https://openalex.org/W2949637147,2019,106,"['https://openalex.org/A5059738737', 'https://openalex.org/A5032653173', 'https://openalex.org/A5100754441', 'https://openalex.org/A5100335305', 'https://openalex.org/A5100325221', 'https://openalex.org/A5063913041', 'https://openalex.org/A5036813587', 'https://openalex.org/A5078370650', 'https://openalex.org/A5100374639']"
https://openalex.org/W2090001035,2014,105,"['https://openalex.org/A5063913041', 'https://openalex.org/A5071884187', 'https://openalex.org/A5109054231', 'https://openalex.org/A5100703283', 'https://openalex.org/A5100630584']"
