cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count
44.0,US,Jill Inderstrodt‐Stephens,4.0,https://openalex.org/A5024276156,https://api.openalex.org/works?filter=author.id:A5024276156,7.0
54.0,BR,Marcos S. Lyra,2.0,https://openalex.org/A5032178561,https://api.openalex.org/works?filter=author.id:A5032178561,2.0
11609.0,NL,Catholijn M. Jonker,53.0,https://openalex.org/A5074074791,https://api.openalex.org/works?filter=author.id:A5074074791,656.0
17452.0,CN,Yu Wang,66.0,https://openalex.org/A5100445061,https://api.openalex.org/works?filter=author.id:A5100445061,987.0
23428.0,DK,Olivier Jolliet,78.0,https://openalex.org/A5079954964,https://api.openalex.org/works?filter=author.id:A5079954964,489.0
9878.0,CN,Xiangmin Xu,39.0,https://openalex.org/A5007354180,https://api.openalex.org/works?filter=author.id:A5007354180,366.0
14526.0,NL,Bart van Arem,59.0,https://openalex.org/A5030507508,https://api.openalex.org/works?filter=author.id:A5030507508,605.0
6374.0,CN,Jie Tang,42.0,https://openalex.org/A5101705698,https://api.openalex.org/works?filter=author.id:A5101705698,255.0
2796.0,AR,Carlos Iván Chesñevar,26.0,https://openalex.org/A5031935884,https://api.openalex.org/works?filter=author.id:A5031935884,195.0
11500.0,US,Harvey J. Miller,53.0,https://openalex.org/A5041181545,https://api.openalex.org/works?filter=author.id:A5041181545,253.0
26867.0,US,Uri Hasson,71.0,https://openalex.org/A5067264638,https://api.openalex.org/works?filter=author.id:A5067264638,233.0
14338.0,US,Thomas A. DiPrete,51.0,https://openalex.org/A5061019981,https://api.openalex.org/works?filter=author.id:A5061019981,168.0
27585.0,US,Matthew Gentzkow,62.0,https://openalex.org/A5008542297,https://api.openalex.org/works?filter=author.id:A5008542297,208.0
7805.0,US,Bijan Pesaran,39.0,https://openalex.org/A5073297747,https://api.openalex.org/works?filter=author.id:A5073297747,150.0
722.0,DK,Gregory Eady,9.0,https://openalex.org/A5015458200,https://api.openalex.org/works?filter=author.id:A5015458200,135.0
3175.0,ES,Luis Ángel Ruiz,31.0,https://openalex.org/A5012275266,https://api.openalex.org/works?filter=author.id:A5012275266,154.0
1277.0,US,Mjaye Mazwi,16.0,https://openalex.org/A5080855486,https://api.openalex.org/works?filter=author.id:A5080855486,78.0
552.0,SE,Eva Norén,10.0,https://openalex.org/A5067573312,https://api.openalex.org/works?filter=author.id:A5067573312,64.0
12505.0,CA,Jens Förster,52.0,https://openalex.org/A5112593876,https://api.openalex.org/works?filter=author.id:A5112593876,154.0
9969.0,US,Amitai Shenhav,39.0,https://openalex.org/A5071496598,https://api.openalex.org/works?filter=author.id:A5071496598,147.0
984.0,KR,Young-Ho Eom,13.0,https://openalex.org/A5041256271,https://api.openalex.org/works?filter=author.id:A5041256271,40.0
2283.0,IT,Tomaso Erseghe,21.0,https://openalex.org/A5066420511,https://api.openalex.org/works?filter=author.id:A5066420511,96.0
506.0,IR,Alireza Mortezaei,14.0,https://openalex.org/A5077750862,https://api.openalex.org/works?filter=author.id:A5077750862,72.0
1664.0,CN,Shuang Yu,18.0,https://openalex.org/A5006758379,https://api.openalex.org/works?filter=author.id:A5006758379,58.0
430.0,US,Stephanie L. Black,12.0,https://openalex.org/A5047141846,https://api.openalex.org/works?filter=author.id:A5047141846,34.0
1040.0,DE,Asia J. Biega,15.0,https://openalex.org/A5087294637,https://api.openalex.org/works?filter=author.id:A5087294637,57.0
175.0,AE,Alex Lipton,7.0,https://openalex.org/A5109886403,https://api.openalex.org/works?filter=author.id:A5109886403,27.0
664.0,SG,S.S. Keerthi,8.0,https://openalex.org/A5032466125,https://api.openalex.org/works?filter=author.id:A5032466125,18.0
50187.0,US,Mel Slater,104.0,https://openalex.org/A5073802250,https://api.openalex.org/works?filter=author.id:A5073802250,512.0
2002.0,US,Courtney Napoles,17.0,https://openalex.org/A5012470628,https://api.openalex.org/works?filter=author.id:A5012470628,30.0
2934.0,ID,Chastine Fatichah,26.0,https://openalex.org/A5065837975,https://api.openalex.org/works?filter=author.id:A5065837975,422.0
1466.0,US,David N. Beede,11.0,https://openalex.org/A5030654340,https://api.openalex.org/works?filter=author.id:A5030654340,21.0
250.0,GB,Adam Saunders,5.0,https://openalex.org/A5102385469,https://api.openalex.org/works?filter=author.id:A5102385469,12.0
31781.0,CN,Rongrong Ji,85.0,https://openalex.org/A5016080094,https://api.openalex.org/works?filter=author.id:A5016080094,886.0
7813.0,US,Mark Liberman,40.0,https://openalex.org/A5055868875,https://api.openalex.org/works?filter=author.id:A5055868875,290.0
42.0,AT,Paul Laufer,3.0,https://openalex.org/A5054316864,https://api.openalex.org/works?filter=author.id:A5054316864,3.0
66.0,US,Chunchen Xu,3.0,https://openalex.org/A5022178609,https://api.openalex.org/works?filter=author.id:A5022178609,5.0
18.0,DE,Laura Iacovissi,1.0,https://openalex.org/A5013295835,https://api.openalex.org/works?filter=author.id:A5013295835,1.0
